intent,input
1,I would like to book a flight from London to Paris
1,Iodin would like to book a flying from London to Capital of france
1,I to book flight from London to
1,I would like to from to Paris
1,I like would to a flight book from to London Paris
1,I would llikde to lbo)ok a flight from Lo&nhdon to PwariVs
1,Iodine would care to book a flight from beijing to hong kong
1,Would like to book a flight from hong
1,I would book a flight from beijing hong
1,I would to book like flight a beijing from to hong kong
1,I would like to boQo5k a flight fcro*m 8b@esijing to hong k3olng
1,book a flight from london to paris
1,Can you book a flight from New York to Tokyo
1,book a trajectory from london to paris
1,a from london paris
1,book flight to paris
1,a book from flight to london paris
1,bo@oEk a flight Ufrolm l@oRndon to paris
1,Can you book a flight from New York to Tokio
1,Can you book flight York to Tokyo
1,Can a from New York to Tokyo
1,Can you book a from flight New York to Tokyo
1,Can you bocoHk a flbig^ht from New Yoorik to Tokyo
1,One would like to book a flight of stairs from NewDelhi to Sydney
1,I to book a flight from to
1,Would like book a flight NewDelhi to
1,I like would to book a flight to from Sydney NewDelhi
1,I would like to bo&o0k a 7fBlight from N#ewDelIhai to +SyJdney
2,return trip
2,I would like a return trip
2,comeback trip
2,trip
2,trip
2,trip return
2,re1turqn trip
2,I would care a return trip
2,I would a trip
2,Would like a return
2,Like I would a return trip
2,I would tlikve a rwejturn trip
2,return misstep please
2,return trip
2,return trip
2,return please trip
2,return trXidp please
2,single trip
2,I would like a single trip
2,single head trip
2,single
2,single
2,Trip single
2,si5ntgle trip
2,I would wish a individual trip
2,I would single trip
2,Would like single trip
2,Would I like single a trip
2,I would lYiske a single RtrOip
2,single trip please
2,trip please
2,single please
2,single please trip
2,single etSrip please
3,10/11/2021 to 19/11/2021
3,decade / 11 / 2021 to xix / xi / 2021
3,/ 11 / 19 / / 2021
3,10 / 11 / / 11 /
3,10 / 2021 11 / to 19 11 / 2021 /
3,10 / 11 / 2#02c1 to 19 / 11 / 20E2b1
3,4 / 12 / 2023 to nineteen / 12 / 2023
3,4 / / / 12 / 2023
3,/ 12 / 2023 / / 2023
3,4 12 / / 2023 to 19 / 12 2023 /
3,4 / 12 / 2E02X3 to 19 / 12 / Q2Y023
3,x / 01 / 2024 to 24 / 01 / 2024
3,/ / to / 01 / 2024
3,10 / 01 / 24 / /
3,/ 10 01 / to 2024 24 01 / 2024 /
3,10 / 01 / 2902m4 to 24 / 01 / 2%02+4
3,From the 10th to the 19th?
3,from the 10th to the 19th of April?
3,From the tenth to the nineteenth?
3,The 10th the 19th?
3,The 10th the 19th?
3,The from to 10th the? 19th
3,AFro@m the i1G0th to the 7109th?
3,From the tenth to the 19th of April?
3,The 10th to 19th of April?
3,The 10th to of April?
3,From the to 10th 19th of the April?
3,wFroLm the #1(0th to the 19)tah of April?
3,From the tertiary to the second? of Jan
3,From 3rd to 2nd? of
3,From 3rd the? of Jan
3,The from to 3rd 2nd the? of Jan
3,F%rPom the 3rd to the 2nd? of Jan
4,STOP
4,STOP
4,STOP
4,STOP
4,please STOP
4,STOP
4,quit
4,QUIT
4,stop
4,Stop
4,Exit
4,exit
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP
4,STOP







